rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect2m_rbd;nalu_mate2m_rbd;prom_lect2m_rbd;prom_mate2m_rbd;dif_lect2m_rbd;dif_mate2m_rbd;difgru_lect2m_rbd;difgru_mate2m_rbd;sigdif_lect2m_rbd;sigdif_mate2m_rbd;siggru_lect2m_rbd;siggru_mate2m_rbd;marca_lect2m_rbd;marca_mate2m_rbd;marcadif_lect2m_rbd;marcadif_mate2m_rbd;palu_eda_ins_lect2m_rbd;palu_eda_ele_lect2m_rbd;palu_eda_ade_lect2m_rbd;palu_eda_ins_mate2m_rbd;palu_eda_ele_mate2m_rbd;palu_eda_ade_mate2m_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
9564;8;COLEGIO PARROQUIAL SAN MIGUEL;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13130;SAN MIGUEL;131;Centro;3;2;4;1;81;84;288;314;8;11;18;25;0;0;1;1;;;;;18.5;37;44.4;14.3;33.3;52.4;0;v12025;20260427;2m;2025
31499;4;COLEGIO THE SOUTHLAND;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13115;LO BARNECHEA;133;Oriente;4;3;5;1;15;13;283;356;-14;31;-5;27;0;1;0;1;;;;;20;40;40;7.7;23.1;69.2;0;v12025;20260427;2m;2025
218;6;LICEO FRANCISCO DE AGUIRRE;2;DE ANTOFAGASTA;22;EL LOA;2201;CALAMA;22;El Loa;6;4;2;1;98;98;224;222;4;-10;-16;-25;0;0;-1;-1;;;;;75.5;14.3;10.2;75.5;20.4;4.1;0;v12025;20260427;2m;2025
13202;0;LICEO BICENTENARIO DE VALLENAR;3;DE ATACAMA;33;HUASCO;3301;VALLENAR;32;Huasco - Vallenar;6;4;3;1;77;78;284;344;3;32;28;77;0;1;1;1;;;;;26;24.7;49.4;5.1;25.6;69.2;0;v12025;20260427;2m;2025
8625;8;CENTRO EDUC. CASA TALLERES SAN VICENTE;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13101;SANTIAGO;131;Centro;3;2;2;1;71;69;227;252;-2;13;-13;5;0;0;-1;0;;;;;63.4;29.6;7;52.2;34.8;13;0;v12025;20260427;2m;2025
968;7;LICEO POLITECNICO PABLO RODRIGUEZ CAVI;4;DE COQUIMBO;42;CHOAPA;4201;ILLAPEL;43;Choapa;2;1;1;1;113;115;209;207;19;8;-19;-26;1;0;-1;-1;;;;;85;10.6;4.4;86.1;13.9;0;0;v12025;20260427;2m;2025
19952;4;COLEGIO ANGOL;9;DE LA ARAUCANÍA;92;MALLECO;9201;ANGOL;91;Malleco;3;2;3;1;60;62;261;315;-9;3;5;48;0;0;0;1;;;;;40;41.7;18.3;6.5;43.5;50;0;v12025;20260427;2m;2025
1300;5;ESCUELA AGRICOLA DE SAN FELIPE;5;DE VALPARAÍSO;57;SAN FELIPE;5701;SAN FELIPE;52;San Felipe - Los Andes;5;2;2;1;114;121;231;230;19;13;-9;-17;1;0;-1;-1;;;;;64;27.2;8.8;69.4;27.3;3.3;0;v12025;20260427;2m;2025
32;9;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;151;Arica;6;4;1;2;50;42;239;245;13;-20;11;12;1;-1;1;1;;;;;58;32;10;59.5;38.1;2.4;0;v12025;20260427;2m;2025
364;6;COL. ANTOFAGASTA;2;DE ANTOFAGASTA;21;ANTOFAGAST;2101;ANTOFAGASTA;21;Antofagasta;4;3;5;1;48;46;260;289;-30;1;-28;-40;-1;0;-1;-1;;;;;35.4;43.8;20.8;23.9;43.5;32.6;0;v12025;20260427;2m;2025
