"rbd";"agno";"id_indicador";"prom";"dif";"mdif";"sigdif";"difgru";"mdifgru";"sigdifgru";"nom_rbd";"cod_reg_rbd";"nom_reg_rbd";"cod_pro_rbd";"nom_pro_rbd";"cod_com_rbd";"nom_com_rbd";"nom_deprov_rbd";"cod_depe2";"cod_grupo";"cod_rural_rbd";"codigo_bbdd";"fecha_bbdd";"grado"
32;2025;2;80;2;;0;4;;1;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
32;2025;3;83;0;;0;3;;0;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
32;2025;4;74;2;;0;3;;0;LICEO AGRICOLA JOSE ABELARDO NUNEZ M.;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
33;2025;1;85;12;;1;9;;1;ESCUELA CARLOS CONDELL DE LA HAZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
33;2025;2;80;2;;0;4;;1;ESCUELA CARLOS CONDELL DE LA HAZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
33;2025;3;85;8;;1;5;;1;ESCUELA CARLOS CONDELL DE LA HAZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
33;2025;4;74;7;;1;3;;0;ESCUELA CARLOS CONDELL DE LA HAZA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
35;2025;1;73;;¬;;;¬;;ESCUELA GRAL. MANUEL BAQUEDANO;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
35;2025;2;79;;¬;;;¬;;ESCUELA GRAL. MANUEL BAQUEDANO;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
35;2025;3;80;;¬;;;¬;;ESCUELA GRAL. MANUEL BAQUEDANO;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
35;2025;4;73;;¬;;;¬;;ESCUELA GRAL. MANUEL BAQUEDANO;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
36;2025;1;90;10;;1;14;;1;ESCUELA IGNACIO CARRERA PINTO;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
36;2025;2;85;10;;1;9;;1;ESCUELA IGNACIO CARRERA PINTO;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
36;2025;3;93;13;;1;13;;1;ESCUELA IGNACIO CARRERA PINTO;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
36;2025;4;76;5;;1;5;;1;ESCUELA IGNACIO CARRERA PINTO;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;1;v12025;20260423;4b
38;2025;1;88;12;;1;12;;1;ESCUELA ESPAÑA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
38;2025;2;89;13;;1;13;;1;ESCUELA ESPAÑA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
38;2025;3;95;16;;1;15;;1;ESCUELA ESPAÑA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
38;2025;4;79;7;;1;8;;1;ESCUELA ESPAÑA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
39;2025;1;78;-3;;0;2;;0;ESCUELA PAMPA ALGODONAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
39;2025;2;70;-4;;-1;-6;;-1;ESCUELA PAMPA ALGODONAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
39;2025;3;83;-1;;0;3;;0;ESCUELA PAMPA ALGODONAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
39;2025;4;71;1;;0;0;;0;ESCUELA PAMPA ALGODONAL;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
41;2025;1;77;11;;1;1;;0;ESCUELA VALLE DE CHACA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
41;2025;2;76;12;;1;0;;0;ESCUELA VALLE DE CHACA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
41;2025;3;83;11;;1;3;;0;ESCUELA VALLE DE CHACA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
41;2025;4;67;6;;1;-4;;0;ESCUELA VALLE DE CHACA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;1;2;v12025;20260423;4b
42;2025;1;78;;¬;;6;;1;ESCUELA MOLINOS LLUTA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;2;v12025;20260423;4b
42;2025;2;74;;¬;;0;;0;ESCUELA MOLINOS LLUTA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;2;v12025;20260423;4b
42;2025;3;81;;¬;;5;;1;ESCUELA MOLINOS LLUTA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;2;v12025;20260423;4b
42;2025;4;69;;¬;;-1;;0;ESCUELA MOLINOS LLUTA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;4;4;2;v12025;20260423;4b
45;2025;1;68;-17;;-1;-6;;-1;COLEGIO ITALIANO SANTA ANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
45;2025;2;72;-11;;-1;-3;;0;COLEGIO ITALIANO SANTA ANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
45;2025;3;69;-17;;-1;-8;;-1;COLEGIO ITALIANO SANTA ANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
45;2025;4;65;-13;;-1;-6;;-1;COLEGIO ITALIANO SANTA ANA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
50;2025;1;71;-21;;-1;-3;;0;COLEGIO ADVENTISTA DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
50;2025;2;75;-11;;-1;0;;0;COLEGIO ADVENTISTA DE ARICA;15;DE ARICA Y PARINACOTA;151;ARICA;15101;ARICA;Arica;2;3;1;v12025;20260423;4b
