rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect8b_rbd;nalu_mate8b_rbd;nalu_hist8b_rbd;prom_lect8b_rbd;prom_mate8b_rbd;prom_hist8b_rbd;dif_lect8b_rbd;dif_mate8b_rbd;dif_hist8b_rbd;difgru_lect8b_rbd;difgru_mate8b_rbd;difgru_hist8b_rbd;sigdif_lect8b_rbd;sigdif_mate8b_rbd;sigdif_hist8b_rbd;siggru_lect8b_rbd;siggru_mate8b_rbd;siggru_hist8b_rbd;marca_lect8b_rbd;marca_mate8b_rbd;marca_hist8b_rbd;marcadif_lect8b_rbd;marcadif_mate8b_rbd;marcadif_hist8b_rbd;palu_eda_ins_lect8b_rbd;palu_eda_ele_lect8b_rbd;palu_eda_ade_lect8b_rbd;palu_eda_ins_mate8b_rbd;palu_eda_ele_mate8b_rbd;palu_eda_ade_mate8b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
8479;4;ESCUELA CERRO SOMBRERO;12;DE MAGALLANES Y DE LA ANTÁRTICA;123;TIERRA DEL;12302;PRIMAVERA;121;Magallanes;6;4;3;2;6;6;6;225;249;227;-15;8;-19;-12;-7;-21;0;0;0;0;0;0;;;;;;;;;;;;;0;v12025;20260427;8b;2025
9733;0;ESCUELA BASICA CLARA  ESTRELLA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13116;LO ESPEJO;132;Sur;6;4;2;1;23;22;25;225;250;228;13;23;1;0;8;-8;0;1;0;0;0;0;;;;;;;56.5;34.8;8.7;36.4;54.5;9.1;0;v12025;20260427;8b;2025
25508;4;COLEGIO PART. GABRIELA MISTRAL SOCIEDAD;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13126;QUINTA NORMAL;134;Poniente;3;2;4;1;51;54;51;263;280;255;-20;-16;-13;13;7;-7;-1;-1;0;1;1;-1;;;;;;;17.6;56.9;25.5;22.2;48.1;29.6;0;v12025;20260427;8b;2025
487;1;ESCUELA BÁSICA JOSÉ MIGUEL CARRERA;3;DE ATACAMA;33;HUASCO;3304;HUASCO;32;Huasco - Vallenar;6;4;2;1;39;38;39;215;215;215;-18;;-7;-10;-27;-21;-1;;0;-1;-1;-1;;;;;1;;61.5;33.3;5.1;76.3;23.7;0;0;v12025;20260427;8b;2025
13434;1;COLEGIO SAN JOAQUIN;4;DE COQUIMBO;41;ELQUI;4101;LA SERENA;41;Elqui;4;3;5;1;54;57;52;280;315;313;-6;-4;16;6;10;24;0;0;1;1;1;1;;;;;;;11.1;46.3;42.6;0;35.1;64.9;0;v12025;20260427;8b;2025
24795;2;COLEGIO EMAUS;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;4;3;5;1;7;8;7;260;254;278;;;;-14;-51;-11;;;;0;-1;0;;;;2;2;2;;;;;;;0;v12025;20260427;8b;2025
6487;4;ESCUELA PARTICULAR LOS CISNES;9;DE LA ARAUCANÍA;91;CAUTÍN;9116;SAAVEDRA;92;Cautin Norte;3;2;1;2;2;2;2;182;204;217;;;;;;;;;;;;;;;;2;2;2;;;;;;;0;v12025;20260427;8b;2025
5442;9;ESCUELA BASICA EMILIA ROMAGNA;9;DE LA ARAUCANÍA;92;MALLECO;9210;TRAIGUÉN;91;Malleco;2;1;1;1;34;25;34;232;262;247;-19;-7;-2;14;28;16;-1;0;0;1;1;1;;;;;;;55.9;17.6;26.5;40;36;24;0;v12025;20260427;8b;2025
4778;3;COLEGIO PARTICULAR TALCAHUANO;8;DEL BIOBÍO;81;CONCEPCIÓN;8110;TALCAHUANO;83;Concepcion;3;2;3;1;30;30;30;207;233;218;-29;-21;-19;-30;-23;-30;-1;-1;-1;-1;-1;-1;;;;;;;76.7;20;3.3;66.7;26.7;6.7;0;v12025;20260427;8b;2025
17725;3;COLEGIO SAN ESTEBAN DE BULNES;16;DE ÑUBLE;161;DIGUILLÍN;16102;BULNES;161;Diguillín;3;2;4;1;34;32;34;242;261;255;-2;7;9;-8;-12;-7;0;0;0;-1;-1;0;;;;;;;32.4;47.1;20.6;50;28.1;21.9;0;v12025;20260427;8b;2025
17848;9;YIRE LICEO POLITECNICO DE COIHUECO;16;DE ÑUBLE;163;PUNILLA;16302;COIHUECO;161;Diguillín;3;2;1;1;23;23;23;205;234;220;-35;-15;-29;-13;0;-11;-1;0;-1;-1;0;0;;;;;;;69.6;30.4;0;60.9;34.8;4.3;0;v12025;20260427;8b;2025
2737;5;COLEGIO POLIVALENTE JAPÓN;7;DEL MAULE;73;CURICÓ;7301;CURICÓ;71;Curico;2;1;2;1;13;11;13;229;219;233;50;14;29;4;-23;-3;1;0;0;0;-1;0;;;;;;;53.8;30.8;15.4;81.8;18.2;0;0;v12025;20260427;8b;2025
