rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;codigo_bbdd;fecha_bbdd;grado;agno
6515;3;ESCUELA CATRIPULLI;9;DE LA ARAUCANÍA;91;CAUTÍN;9102;CARAHUE;92;Cautin Norte;6;4;1;2;1;1;;;;;;;;;;;1;1;2;1;;;;;;;0;v12025;20260427;4b;2025
2685;9;ESCUELA MUNICIPAL MATANCILLA;6;DEL LIBERTADOR BERNARDO O;62;CARDENAL C;6203;LITUECHE;63;Cardenal Caro;2;1;2;2;1;1;;;;;;;;;;;1;1;2;2;;;;;;;0;v12025;20260427;4b;2025
3564;5;ESCUELA HECTOR SILVESTRE PAIVA MANRIQUE;7;DEL MAULE;72;CAUQUENES;7201;CAUQUENES;74;Cauquenes;6;4;3;2;3;3;289;205;;;;;;;;;;;1;1;;;;;;;0;v12025;20260427;4b;2025
9183;9;ESC.PARA SORDOS DR. OTTE GABLER;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13129;SAN JOAQUÍN;131;Centro;3;2;;1;0;0;;;;;;;;;;;;;;;;;;;;;1;v12025;20260427;4b;2025
6953;1;ESCUELA RURAL EL SALTO;14;DE LOS RÍOS;141;VALDIVIA;14104;LOS LAGOS;141;Valdivia;6;4;2;2;16;16;307;270;49;14;40;18;1;0;1;1;;;;;0;37.5;62.5;18.8;62.5;18.8;0;v12025;20260427;4b;2025
9870;1;ESCUELA BASICA CONDORES DE PLATA;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13102;CERRILLOS;134;Poniente;6;4;2;1;31;31;305;279;42;31;38;27;1;1;1;1;;;;;9.7;16.1;74.2;22.6;35.5;41.9;0;v12025;20260427;4b;2025
7202;8;COLEGIO PROYECTO DE FUTURO;14;DE LOS RÍOS;141;VALDIVIA;14107;PAILLACO;141;Valdivia;6;4;3;1;61;62;273;264;4;10;-3;4;0;0;0;0;;;;;31.1;26.2;42.6;35.5;33.9;30.6;0;v12025;20260427;4b;2025
12031;6;COLEGIO SAN DIEGO DE ALCALÁ;8;DEL BIOBÍO;83;BIOBÍO;8312;TUCAPEL;82;Bio Bio;3;2;3;1;39;40;274;231;-7;-30;-2;-29;0;-1;0;-1;;;;;28.2;25.6;46.2;60;37.5;2.5;0;v12025;20260427;4b;2025
5625;1;ESCUELA TRUF-TRUF.;9;DE LA ARAUCANÍA;91;CAUTÍN;9112;PADRE LAS CASAS;93;Cautin Sur;2;1;2;2;16;16;273;259;8;5;6;7;0;0;0;0;;;;;31.3;31.3;37.5;37.5;37.5;25;0;v12025;20260427;4b;2025
2293;4;COLEGIO MUNICIPAL LOS CHOAPINOS;6;DEL LIBERTADOR BERNARDO O;61;CACHAPOAL;6115;RENGO;61;Cachapoal;2;1;2;2;11;11;283;254;-23;-33;16;2;0;-1;1;0;;;;;0;45.5;54.5;45.5;45.5;9.1;0;v12025;20260427;4b;2025
31264;9;ESCUELA BÁSICA SAN GENNARO;13;METROPOLITANA DE SANTIAGO;134;MAIPO;13404;PAINE;132;Sur;3;2;4;1;29;31;316;286;27;7;32;16;1;0;1;1;;;;;6.9;13.8;79.3;6.5;54.8;38.7;0;v12025;20260427;4b;2025
7348;2;ESCUELA CARLOS CONDELL;10;DE LOS LAGOS;103;OSORNO;10301;OSORNO;103;Osorno;2;1;1;1;22;21;257;258;-6;-12;-2;15;0;0;0;1;;;;;40.9;36.4;22.7;33.3;52.4;14.3;0;v12025;20260427;4b;2025
10557;0;ESCUELA GENERAL ALBERTO A. BACHELET MAR;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13105;EL BOSQUE;132;Sur;6;4;2;1;31;36;287;263;10;-11;20;11;0;0;1;1;;;;;19.4;29;51.6;36.1;36.1;27.8;0;v12025;20260427;4b;2025
